site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 11JAN02 2011.0034 55563 1617 0  -42.8    772  0.884260   -564218 -0.016701    67  0.976695  0.0080 0.000745 0.000679 0.002957 -0.001363  0.059875 -0.082054  -5.1024802865  -42.7930296243    67.97670
PITN 11JAN03 2011.0062 55564 1617 1  -42.8    772  0.884699   -564218 -0.019587    67  0.970938  0.0080 0.000732 0.000678 0.002947 -0.001466  0.061236 -0.059428  -5.1024803126  -42.7930296203    67.97094
PITN 11JAN04 2011.0089 55565 1617 2  -42.8    772  0.884224   -564218 -0.018739    67  0.976757  0.0080 0.000778 0.000701 0.003100 -0.014602  0.084694 -0.017544  -5.1024803049  -42.7930296246    67.97676
PITN 11JAN05 2011.0116 55566 1617 3  -42.8    772  0.885433   -564218 -0.015904    67  0.968734  0.0080 0.000748 0.000685 0.002974 -0.016356  0.033126 -0.059297  -5.1024802793  -42.7930296137    67.96873
PITN 11JAN06 2011.0144 55567 1617 4  -42.8    772  0.886053   -564218 -0.017452    67  0.972139  0.0080 0.000735 0.000684 0.003001 -0.007202  0.058008 -0.028164  -5.1024802933  -42.7930296081    67.97214
PITN 11JAN07 2011.0171 55568 1617 5  -42.8    772  0.886399   -564218 -0.014486    67  0.976851  0.0080 0.000732 0.000677 0.002905  0.007938  0.078958 -0.033720  -5.1024802665  -42.7930296050    67.97685
PITN 11JAN08 2011.0198 55569 1617 6  -42.8    772  0.886817   -564218 -0.015888    67  0.974172  0.0080 0.000741 0.000677 0.002959  0.001299  0.115876 -0.073689  -5.1024802792  -42.7930296012    67.97417
PITN 11JAN09 2011.0226 55570 1618 0  -42.8    772  0.883431   -564218 -0.016646    67  0.984582  0.0080 0.000740 0.000676 0.002973 -0.034429  0.050254 -0.040885  -5.1024802860  -42.7930296318    67.98458
PITN 11JAN10 2011.0253 55571 1618 1  -42.8    772  0.885394   -564218 -0.014942    67  0.970516  0.0080 0.000752 0.000676 0.002964 -0.023630  0.087267 -0.036949  -5.1024802706  -42.7930296141    67.97052
PITN 11JAN11 2011.0281 55572 1618 2  -42.8    772  0.882770   -564218 -0.015014    67  0.981783  0.0080 0.000744 0.000689 0.003023 -0.021589  0.069483 -0.064807  -5.1024802712  -42.7930296377    67.98178
PITN 11JAN12 2011.0308 55573 1618 3  -42.8    772  0.884823   -564218 -0.015560    67  0.978755  0.0080 0.000713 0.000661 0.002853 -0.023488  0.070649 -0.062570  -5.1024802762  -42.7930296192    67.97875
PITN 11JAN13 2011.0335 55574 1618 4  -42.8    772  0.885712   -564218 -0.014568    67  0.982479  0.0080 0.000717 0.000660 0.002849 -0.018651  0.089640 -0.032522  -5.1024802672  -42.7930296112    67.98248
PITN 11JAN14 2011.0363 55575 1618 5  -42.8    772  0.884561   -564218 -0.015741    67  0.976452  0.0080 0.000718 0.000655 0.002836  0.001679  0.082054 -0.003376  -5.1024802778  -42.7930296216    67.97645
PITN 11JAN15 2011.0390 55576 1618 6  -42.8    772  0.883715   -564218 -0.014210    67  0.967439  0.0080 0.000722 0.000666 0.002870 -0.011001  0.109804 -0.037826  -5.1024802640  -42.7930296292    67.96744
PITN 11JAN16 2011.0418 55577 1619 0  -42.8    772  0.886241   -564218 -0.015505    67  0.980969  0.0080 0.000732 0.000675 0.002959 -0.020969  0.094756 -0.020349  -5.1024802757  -42.7930296064    67.98097
PITN 11JAN17 2011.0445 55578 1619 1  -42.8    772  0.884622   -564218 -0.012801    67  0.972559  0.0080 0.000722 0.000664 0.002886 -0.010116  0.081881 -0.059805  -5.1024802512  -42.7930296210    67.97256
PITN 11JAN18 2011.0472 55579 1619 2  -42.8    772  0.885075   -564218 -0.014779    67  0.966028  0.0080 0.000763 0.000705 0.003065 -0.022549  0.090766 -0.049150  -5.1024802691  -42.7930296169    67.96603
PITN 11JAN19 2011.0500 55580 1619 3  -42.8    772  0.887128   -564218 -0.015727    67  0.964320  0.0080 0.000747 0.000681 0.002978 -0.010691  0.107781 -0.047407  -5.1024802777  -42.7930295984    67.96432
PITN 11JAN20 2011.0527 55581 1619 4  -42.8    772  0.885886   -564218 -0.012755    67  0.966492  0.0080 0.000740 0.000690 0.003032  0.014372  0.118802  0.001384  -5.1024802508  -42.7930296096    67.96649
PITN 11JAN21 2011.0554 55582 1619 5  -42.8    772  0.883870   -564218 -0.014161    67  0.977375  0.0080 0.000715 0.000666 0.002835 -0.014101  0.065312 -0.028481  -5.1024802635  -42.7930296278    67.97738
PITN 11JAN22 2011.0582 55583 1619 6  -42.8    772  0.885538   -564218 -0.015322    67  0.970422  0.0080 0.000736 0.000692 0.002973 -0.008332  0.084357 -0.059648  -5.1024802740  -42.7930296128    67.97042
PITN 11JAN23 2011.0609 55584 1620 0  -42.8    772  0.886311   -564218 -0.014786    67  0.971209  0.0080 0.000717 0.000661 0.002851 -0.008623  0.107227 -0.038239  -5.1024802692  -42.7930296058    67.97121
PITN 11JAN24 2011.0637 55585 1620 1  -42.8    772  0.886416   -564218 -0.014158    67  0.974661  0.0080 0.000732 0.000678 0.002929  0.023538  0.096400 -0.036445  -5.1024802635  -42.7930296049    67.97466
PITN 11JAN25 2011.0664 55586 1620 2  -42.8    772  0.887052   -564218 -0.014881    67  0.961924  0.0080 0.000733 0.000681 0.002937 -0.039653  0.095973 -0.007171  -5.1024802700  -42.7930295991    67.96192
PITN 11JAN26 2011.0691 55587 1620 3  -42.8    772  0.885640   -564218 -0.014435    67  0.965503  0.0080 0.000746 0.000692 0.002970  0.006461  0.093639 -0.004905  -5.1024802660  -42.7930296119    67.96550
PITN 11JAN27 2011.0719 55588 1620 4  -42.8    772  0.882351   -564218 -0.013716    67  0.960253  0.0080 0.001281 0.001267 0.005257 -0.012530  0.010779 -0.026210  -5.1024802595  -42.7930296415    67.96025
PITN 11JAN31 2011.0828 55592 1621 1  -42.8    772  0.887077   -564218 -0.016210    67  0.977300  0.0080 0.001176 0.001044 0.004380 -0.043349  0.074829 -0.081586  -5.1024802821  -42.7930295989    67.97730
PITN 11FEB01 2011.0856 55593 1621 2  -42.8    772  0.886801   -564218 -0.014774    67  0.968263  0.0080 0.000737 0.000687 0.002916 -0.033930  0.058027 -0.014916  -5.1024802691  -42.7930296014    67.96826
PITN 11FEB02 2011.0883 55594 1621 3  -42.8    772  0.884846   -564218 -0.013465    67  0.959664  0.0080 0.000750 0.000704 0.003091 -0.025515  0.086852  0.028147  -5.1024802572  -42.7930296190    67.95966
PITN 11FEB03 2011.0910 55595 1621 4  -42.8    772  0.885696   -564218 -0.012291    67  0.976509  0.0080 0.000746 0.000713 0.003065  0.007879  0.112754 -0.085008  -5.1024802466  -42.7930296113    67.97651
PITN 11FEB04 2011.0938 55596 1621 5  -42.8    772  0.887831   -564218 -0.010907    67  0.965101  0.0080 0.000739 0.000684 0.002910 -0.019223  0.076358 -0.026079  -5.1024802341  -42.7930295921    67.96510
PITN 11FEB05 2011.0965 55597 1621 6  -42.8    772  0.886916   -564218 -0.014976    67  0.965742  0.0080 0.000717 0.000673 0.002862 -0.004156  0.089409 -0.038145  -5.1024802709  -42.7930296003    67.96574
PITN 11FEB06 2011.0992 55598 1622 0  -42.8    772  0.885932   -564218 -0.014681    67  0.965058  0.0080 0.000727 0.000682 0.002891 -0.006041  0.077362 -0.065972  -5.1024802682  -42.7930296092    67.96506
PITN 11FEB07 2011.1020 55599 1622 1  -42.8    772  0.884019   -564218 -0.014816    67  0.966012  0.0080 0.000734 0.000698 0.002972 -0.020270  0.079437 -0.038195  -5.1024802695  -42.7930296265    67.96601
PITN 11FEB08 2011.1047 55600 1622 2  -42.8    772  0.883973   -564218 -0.014356    67  0.965632  0.0080 0.000746 0.000704 0.003023 -0.046025  0.114834 -0.081787  -5.1024802653  -42.7930296269    67.96563
PITN 11FEB09 2011.1075 55601 1622 3  -42.8    772  0.884013   -564218 -0.013089    67  0.974967  0.0080 0.000745 0.000725 0.003072  0.011329  0.087446 -0.076500  -5.1024802538  -42.7930296265    67.97497
PITN 11FEB10 2011.1102 55602 1622 4  -42.8    772  0.883990   -564218 -0.013496    67  0.966810  0.0080 0.000782 0.000720 0.003017 -0.024034  0.033208 -0.033857  -5.1024802575  -42.7930296267    67.96681
PITN 11FEB11 2011.1129 55603 1622 5  -42.8    772  0.887018   -564218 -0.012945    67  0.963518  0.0080 0.000718 0.000673 0.002862 -0.023787  0.101148 -0.069936  -5.1024802525  -42.7930295994    67.96352
PITN 11FEB12 2011.1157 55604 1622 6  -42.8    772  0.884705   -564218 -0.013195    67  0.964289  0.0080 0.000733 0.000705 0.002996 -0.013112  0.076172 -0.043885  -5.1024802548  -42.7930296203    67.96429
PITN 11FEB13 2011.1184 55605 1623 0  -42.8    772  0.885415   -564218 -0.014071    67  0.967493  0.0080 0.000735 0.000695 0.002961 -0.008580  0.119326 -0.031219  -5.1024802627  -42.7930296139    67.96749
PITN 11FEB14 2011.1211 55606 1623 1  -42.8    772  0.884861   -564218 -0.015315    67  0.968656  0.0080 0.000732 0.000681 0.002896 -0.059311  0.103188 -0.045389  -5.1024802740  -42.7930296189    67.96866
PITN 11FEB15 2011.1239 55607 1623 2  -42.8    772  0.886138   -564218 -0.011678    67  0.964706  0.0080 0.000753 0.000691 0.002960 -0.015331  0.049336 -0.026098  -5.1024802411  -42.7930296074    67.96471
PITN 11FEB16 2011.1266 55608 1623 3  -42.8    772  0.884916   -564218 -0.012584    67  0.967142  0.0080 0.000743 0.000693 0.002926 -0.018281  0.058238  0.006421  -5.1024802493  -42.7930296184    67.96714
PITN 11FEB17 2011.1294 55609 1623 4  -42.8    772  0.885516   -564218 -0.014513    67  0.965634  0.0080 0.000734 0.000688 0.002942 -0.024872  0.099325 -0.005856  -5.1024802667  -42.7930296130    67.96563
PITN 11FEB18 2011.1321 55610 1623 5  -42.8    772  0.889519   -564218 -0.011165    67  0.955270  0.0080 0.000730 0.000702 0.002969 -0.023353  0.074308 -0.005601  -5.1024802364  -42.7930295769    67.95527
PITN 11FEB19 2011.1348 55611 1623 6  -42.8    772  0.883537   -564218 -0.013494    67  0.947589  0.0080 0.000754 0.000710 0.003083 -0.056492  0.077984 -0.070164  -5.1024802575  -42.7930296308    67.94759
PITN 11FEB20 2011.1376 55612 1624 0  -42.8    772  0.885317   -564218 -0.012183    67  0.962691  0.0080 0.000733 0.000678 0.002868 -0.043561  0.083399 -0.064184  -5.1024802456  -42.7930296148    67.96269
PITN 11FEB21 2011.1403 55613 1624 1  -42.8    772  0.883979   -564218 -0.010651    67  0.966654  0.0080 0.000729 0.000677 0.002860 -0.010015  0.086535 -0.021932  -5.1024802318  -42.7930296268    67.96665
PITN 11FEB22 2011.1431 55614 1624 2  -42.8    772  0.884487   -564218 -0.013078    67  0.966961  0.0080 0.000725 0.000683 0.002910 -0.039747  0.055113 -0.018936  -5.1024802537  -42.7930296222    67.96696
PITN 11FEB23 2011.1458 55615 1624 3  -42.8    772  0.886031   -564218 -0.014467    67  0.972589  0.0080 0.000739 0.000706 0.003067 -0.008303  0.088387  0.001228  -5.1024802663  -42.7930296083    67.97259
PITN 11FEB24 2011.1485 55616 1624 4  -42.8    772  0.884692   -564218 -0.014257    67  0.973394  0.0080 0.000731 0.000677 0.002905 -0.024904  0.061231 -0.040077  -5.1024802644  -42.7930296204    67.97339
PITN 11FEB25 2011.1513 55617 1624 5  -42.8    772  0.885253   -564218 -0.014959    67  0.962562  0.0080 0.000736 0.000687 0.002936 -0.040298  0.065687 -0.005397  -5.1024802708  -42.7930296153    67.96256
PITN 11FEB26 2011.1540 55618 1624 6  -42.8    772  0.884699   -564218 -0.014677    67  0.963398  0.0080 0.000716 0.000675 0.002851 -0.039422  0.062511 -0.029182  -5.1024802682  -42.7930296203    67.96340
PITN 11FEB27 2011.1567 55619 1625 0  -42.8    772  0.884012   -564218 -0.012604    67  0.959199  0.0080 0.000725 0.000672 0.002897 -0.043207  0.059347 -0.033398  -5.1024802495  -42.7930296265    67.95920
PITN 11FEB28 2011.1595 55620 1625 1  -42.8    772  0.888268   -564218 -0.012401    67  0.965936  0.0080 0.000730 0.000679 0.002949 -0.028993  0.114302  0.004549  -5.1024802476  -42.7930295881    67.96594
PITN 11MAR01 2011.1622 55621 1625 2  -42.8    772  0.885979   -564218 -0.014382    67  0.963710  0.0080 0.000714 0.000662 0.002797 -0.039173  0.075239 -0.005563  -5.1024802655  -42.7930296088    67.96371
PITN 11MAR02 2011.1650 55622 1625 3  -42.8    772  0.886749   -564218 -0.012666    67  0.962093  0.0080 0.000720 0.000663 0.002822 -0.043372  0.082246 -0.045230  -5.1024802500  -42.7930296018    67.96209
PITN 11MAR03 2011.1677 55623 1625 4  -42.8    772  0.885000   -564218 -0.013420    67  0.961117  0.0080 0.000736 0.000691 0.002950 -0.035723  0.066613 -0.015317  -5.1024802568  -42.7930296176    67.96112
PITN 11MAR04 2011.1704 55624 1625 5  -42.8    772  0.885337   -564218 -0.013028    67  0.966470  0.0080 0.000739 0.000705 0.002990 -0.076770  0.085758 -0.000792  -5.1024802533  -42.7930296146    67.96647
PITN 11MAR05 2011.1732 55625 1625 6  -42.8    772  0.885373   -564218 -0.017018    67  0.958904  0.0080 0.000735 0.000688 0.002934 -0.035806  0.116551  0.002615  -5.1024802894  -42.7930296143    67.95890
PITN 11MAR06 2011.1759 55626 1626 0  -42.8    772  0.885258   -564218 -0.012753    67  0.953635  0.0080 0.000738 0.000692 0.003004 -0.050343  0.121248 -0.018433  -5.1024802508  -42.7930296153    67.95363
PITN 11MAR07 2011.1786 55627 1626 1  -42.8    772  0.884323   -564218 -0.013106    67  0.956269  0.0080 0.000740 0.000700 0.002966 -0.049362  0.073874  0.012074  -5.1024802540  -42.7930296237    67.95627
PITN 11MAR08 2011.1814 55628 1626 2  -42.8    772  0.886560   -564218 -0.016062    67  0.962662  0.0080 0.000735 0.000689 0.003019 -0.048083  0.085575  0.022117  -5.1024802807  -42.7930296036    67.96266
PITN 11MAR09 2011.1841 55629 1626 3  -42.8    772  0.885893   -564218 -0.015076    67  0.954601  0.0080 0.000730 0.000679 0.002857 -0.058238  0.074761  0.002920  -5.1024802718  -42.7930296096    67.95460
PITN 11MAR10 2011.1869 55630 1626 4  -42.8    772  0.885716   -564218 -0.014021    67  0.958375  0.0080 0.000736 0.000684 0.002923 -0.036476  0.100968 -0.021185  -5.1024802623  -42.7930296112    67.95838
